Year,State,Age_standardised_suicide_rate
2013,New South Wales,9.5
2013,Victoria,9.2
2013,Queensland,14.6
2013,Western Australia,13.5
2013,South Australia,12
2013,Tasmania,14.2
2013,Australian Capital Territory,9.6
2013,Northern Territory,14.2
2014,New South Wales,10.8
2014,Victoria,11.1
2014,Queensland,14
2014,Western Australia,14.5
2014,South Australia,14.4
2014,Tasmania,12.8
2014,Australian Capital Territory,9.8
2014,Northern Territory,21.8
2015,New South Wales,10.9
2015,Victoria,11.2
2015,Queensland,16
2015,Western Australia,15.6
2015,South Australia,13.3
2015,Tasmania,16.2
2015,Australian Capital Territory,11.4
2015,Northern Territory,20.3
2016,New South Wales,10.5
2016,Victoria,10.5
2016,Queensland,14.2
2016,Western Australia,14.5
2016,South Australia,13
2016,Tasmania,17.1
2016,Australian Capital Territory,7.2
2016,Northern Territory,19.2
2017,New South Wales,11.6
2017,Victoria,11.1
2017,Queensland,16.6
2017,Western Australia,16.1
2017,South Australia,12.9
2017,Tasmania,15.1
2017,Australian Capital Territory,14.2
2017,Northern Territory,20.2
2018,New South Wales,11.6
2018,Victoria,10.6
2018,Queensland,16.2
2018,Western Australia,14.5
2018,South Australia,11.8
2018,Tasmania,14.2
2018,Australian Capital Territory,11.6
2018,Northern Territory,19.5
2019,New South Wales,11.8
2019,Victoria,11.1
2019,Queensland,15.8
2019,Western Australia,15.6
2019,South Australia,13.8
2019,Tasmania,18.8
2019,Australian Capital Territory,12.1
2019,Northern Territory,20.8
2020,New South Wales,11
2020,Victoria,10
2020,Queensland,15.1
2020,Western Australia,14.1
2020,South Australia,12.8
2020,Tasmania,15.2
2020,Australian Capital Territory,13.1
2020,Northern Territory,20.2
2021,New South Wales,11.1
2021,Victoria,10.1
2021,Queensland,15
2021,Western Australia,14
2021,South Australia,12.4
2021,Tasmania,13.2
2021,Australian Capital Territory,13.7
2021,Northern Territory,19
2022,New South Wales,11
2022,Victoria,11.1
2022,Queensland,14.6
2022,Western Australia,13.7
2022,South Australia,13.3
2022,Tasmania,14.6
2022,Australian Capital Territory,11.7
2022,Northern Territory,20.5
2023,New South Wales,9.9
2023,Victoria,10.9
2023,Queensland,14.2
2023,Western Australia,14.3
2023,South Australia,12.1
2023,Tasmania,14.9
2023,Australian Capital Territory,7.7
2023,Northern Territory,17
